feature,importance
tenure_group,0.24625979248319727
charges_ratio,0.2190648503446251
PaperlessBilling,0.12595915578150543
PhoneService,0.11858681698019123
StreamingMovies,0.0894279604612116
Contract,0.07935064580611448
Dependents,0.06701692464301652
SeniorCitizen,0.0556633607532543
Partner,0.0452054830937917
OnlineBackup,0.03742429378217746
StreamingTV,0.03259671998660478
PaymentMethod,0.031232120984898942
gender,0.023615782584828514
TechSupport,0.023557086726770298
DeviceProtection,0.02172832948835378
MultipleLines,0.020131553324713194
InternetService,0.018336626257135256
OnlineSecurity,0.01037823815345115
tenure,0.005500922082518091
MonthlyCharges,0.0029597499011846987
TotalCharges,4.262886871817008e-05
