customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,charges_ratio
CUST00000,1,1,0,0,52,0,1,2,2,0,0,1,1,1,1,1,1,92.91,4810.78,0,4-6yr,0.019
CUST00001,1,1,0,0,70,0,0,0,2,0,1,2,1,0,2,0,0,101.05,7060.14,0,4-6yr,0.014
CUST00002,1,0,1,0,50,1,1,2,1,0,2,1,1,0,1,1,2,90.54,4520.57,0,4-6yr,0.02
CUST00003,1,1,0,1,67,0,2,2,1,2,2,0,0,1,1,1,0,111.71,7477.23,0,4-6yr,0.015
CUST00004,0,0,0,0,66,0,1,0,2,2,1,1,0,1,0,0,1,43.55,2879.69,0,4-6yr,0.015
CUST00005,1,1,1,1,45,0,1,0,2,0,2,0,2,2,1,0,1,92.04,4146.04,0,2-4yr,0.022
CUST00006,0,0,1,0,27,1,0,1,0,0,0,0,1,0,2,0,1,97.45,2617.34,0,2-4yr,0.037
CUST00007,1,1,0,0,18,0,1,0,0,1,2,2,0,1,2,0,2,89.27,1614.66,0,1-2yr,0.055
CUST00008,1,0,1,1,71,0,0,2,1,2,2,2,1,1,1,1,0,83.73,5923.4,0,4-6yr,0.014
CUST00009,0,0,1,0,16,1,0,0,2,1,2,1,2,1,0,1,0,62.37,985.76,0,1-2yr,0.063
CUST00010,0,1,1,0,43,1,2,2,1,1,0,0,2,1,2,1,1,20.96,923.6,0,2-4yr,0.023
CUST00011,0,0,1,0,57,0,2,1,1,0,1,2,2,1,2,1,1,85.4,4866.04,0,4-6yr,0.018
CUST00012,1,0,0,1,40,0,2,2,2,0,0,1,2,0,1,1,0,100.32,4029.12,0,2-4yr,0.025
CUST00013,0,1,1,0,43,1,2,0,0,0,1,0,1,0,2,1,0,69.46,2970.08,0,2-4yr,0.023
CUST00014,0,1,1,0,10,1,1,0,2,2,2,1,0,2,0,1,0,59.49,568.37,0,0-1yr,0.104
CUST00015,1,1,1,1,13,1,2,0,2,2,1,2,2,2,1,1,3,91.3,1194.37,1,1-2yr,0.076
CUST00016,1,1,1,1,3,0,1,2,1,2,0,0,1,1,2,0,2,95.45,280.18,1,0-1yr,0.339
CUST00017,0,0,0,0,66,0,2,1,0,0,1,1,2,0,0,1,0,100.28,6638.27,0,4-6yr,0.015
CUST00018,1,0,1,0,67,0,2,1,2,0,2,2,1,1,1,1,2,47.7,3214.92,0,4-6yr,0.015
CUST00019,0,0,1,0,32,0,1,2,0,1,2,2,2,1,1,0,2,68.41,2186.88,0,2-4yr,0.031
CUST00020,0,0,0,0,7,1,2,1,2,1,2,0,2,2,1,1,1,71.9,490.06,0,0-1yr,0.146
CUST00021,1,1,0,0,50,0,1,1,2,1,1,1,2,0,0,0,2,45.86,2265.07,1,4-6yr,0.02
CUST00022,0,1,0,1,40,0,1,1,1,1,0,1,2,2,0,1,2,62.9,2521.48,0,2-4yr,0.025
CUST00023,1,0,0,1,69,0,2,2,2,2,0,1,2,1,1,0,0,115.57,7989.75,0,4-6yr,0.014
CUST00024,0,1,1,1,3,1,0,1,0,2,0,1,2,2,0,1,2,32.0,74.1,0,0-1yr,0.426
CUST00025,1,1,0,0,37,0,0,2,0,0,2,2,0,2,2,0,1,33.79,1244.59,0,2-4yr,0.027
CUST00026,1,1,0,1,49,0,0,1,2,1,2,2,2,0,2,1,0,67.94,3342.62,0,4-6yr,0.02
CUST00027,1,1,0,0,14,1,0,1,2,1,0,2,1,1,0,0,2,20.5,296.37,0,1-2yr,0.069
CUST00028,0,0,0,1,17,0,1,2,2,2,1,2,2,0,2,1,1,63.9,1092.33,0,1-2yr,0.058
CUST00029,0,1,0,0,28,0,0,2,2,1,0,0,2,2,1,1,1,43.17,1194.31,0,2-4yr,0.036
CUST00030,1,0,0,0,18,0,0,0,1,1,1,2,0,1,0,0,0,29.99,551.32,1,1-2yr,0.054
CUST00031,0,1,0,1,20,0,2,1,2,0,0,0,0,2,0,1,1,28.5,588.01,0,1-2yr,0.048
CUST00032,0,1,0,1,34,0,0,0,0,0,2,1,1,2,2,0,3,95.38,3265.59,0,2-4yr,0.029
CUST00033,0,0,1,0,17,0,0,1,1,1,1,1,2,2,2,1,0,42.62,717.83,0,1-2yr,0.059
CUST00034,0,1,1,0,23,1,2,2,2,2,1,0,1,0,2,0,3,109.68,2498.8,1,1-2yr,0.044
CUST00035,0,0,1,1,4,1,0,0,0,2,2,2,2,1,2,0,3,57.71,224.93,1,0-1yr,0.255
CUST00036,1,0,0,0,38,0,2,2,0,1,1,1,1,0,1,1,2,52.83,2003.7,0,2-4yr,0.026
CUST00037,0,0,1,1,59,1,1,2,2,1,1,0,1,2,2,0,2,56.44,3330.68,0,4-6yr,0.017
CUST00038,1,1,1,1,37,1,0,2,0,2,0,2,1,0,2,0,1,84.7,3123.82,0,2-4yr,0.027
CUST00039,0,1,1,0,26,1,2,1,0,2,0,2,2,0,2,1,2,81.44,2112.98,0,2-4yr,0.039
CUST00040,0,0,1,0,12,0,2,2,2,2,2,1,2,2,2,1,3,83.23,1013.33,1,0-1yr,0.082
CUST00041,1,1,1,0,46,0,0,0,2,1,0,2,0,2,2,0,2,20.98,944.27,1,2-4yr,0.022
CUST00042,1,1,1,1,6,0,1,2,0,1,1,2,0,2,0,1,0,20.65,97.15,0,0-1yr,0.21
CUST00043,1,1,1,1,46,0,1,2,0,1,0,0,1,1,0,0,3,52.07,2417.19,1,2-4yr,0.022
CUST00044,1,1,1,0,18,1,1,1,2,0,0,0,0,2,1,0,3,40.73,750.13,0,1-2yr,0.054
CUST00045,1,0,0,0,49,1,0,2,0,0,1,0,2,1,2,0,0,111.76,5461.37,1,4-6yr,0.02
CUST00046,1,1,0,0,72,1,0,0,2,2,1,1,2,0,1,0,1,27.89,2010.84,0,4-6yr,0.014
