customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,1,No,No,52,No,No phone service,No,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,92.91,4810.78,No
CUST00001,Male,1,No,No,70,No,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer,101.05,7060.14,No
CUST00002,Male,0,Yes,No,50,Yes,No phone service,No,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,90.54,4520.57,No
CUST00003,Male,1,No,Yes,67,No,Yes,No,No internet service,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer,111.71,7477.23,No
CUST00004,Female,0,No,No,66,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card,43.55,2879.69,No
CUST00005,Male,1,Yes,Yes,45,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card,92.04,4146.04,No
CUST00006,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Credit card,97.45,2617.34,No
CUST00007,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,Two year,No,Electronic check,89.27,1614.66,No
CUST00008,Male,0,Yes,Yes,71,No,No,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Bank transfer,83.73,5923.4,No
CUST00009,Female,0,Yes,No,16,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,62.37,985.76,No
CUST00010,Female,1,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card,20.96,923.6,No
CUST00011,Female,0,Yes,No,57,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card,85.4,4866.04,No
CUST00012,Male,0,No,Yes,40,No,Yes,No,Yes,No,No,No internet service,Yes,No,One year,Yes,Bank transfer,100.32,4029.12,No
CUST00013,Female,1,Yes,No,43,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,Yes,Bank transfer,69.46,2970.08,No
CUST00014,Female,1,Yes,No,10,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,59.49,568.37,No
CUST00015,Male,1,Yes,Yes,13,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,91.3,1194.37,Yes
CUST00016,Male,1,Yes,Yes,3,No,No phone service,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,95.45,280.18,Yes
CUST00017,Female,0,No,No,66,No,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,100.28,6638.27,No
CUST00018,Male,0,Yes,No,67,No,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,47.7,3214.92,No
CUST00019,Female,0,Yes,No,32,No,No phone service,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,68.41,2186.88,No
CUST00020,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card,71.9,490.06,No
CUST00021,Male,1,No,No,50,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,45.86,2265.07,Yes
CUST00022,Female,1,No,Yes,40,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,62.9,2521.48,No
CUST00023,Male,0,No,Yes,69,No,Yes,No,Yes,Yes,No,No internet service,Yes,No internet service,One year,No,Bank transfer,115.57,7989.75,No
CUST00024,Female,1,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,32.0,74.1,No
CUST00025,Male,1,No,No,37,No,No,No,No,No,Yes,Yes,No,Yes,Two year,No,Credit card,33.79,1244.59,No
CUST00026,Male,1,No,Yes,49,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,67.94,3342.62,No
CUST00027,Male,1,No,No,14,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,20.5,296.37,No
CUST00028,Female,0,No,Yes,17,No,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Credit card,63.9,1092.33,No
CUST00029,Female,1,No,No,28,No,No,No,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Credit card,43.17,1194.31,No
CUST00030,Male,0,No,No,18,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer,29.99,551.32,Yes
CUST00031,Female,1,No,Yes,20,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,28.5,588.01,No
CUST00032,Female,1,No,Yes,34,No,No,DSL,No,No,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,95.38,3265.59,No
CUST00033,Female,0,Yes,No,17,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer,42.62,717.83,No
CUST00034,Female,1,Yes,No,23,Yes,Yes,No,Yes,Yes,No internet service,No,No internet service,No,Two year,No,Mailed check,109.68,2498.8,Yes
CUST00035,Female,0,Yes,Yes,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,57.71,224.93,Yes
CUST00036,Male,0,No,No,38,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,52.83,2003.7,No
CUST00037,Female,0,Yes,Yes,59,Yes,No phone service,No,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,56.44,3330.68,No
CUST00038,Male,1,Yes,Yes,37,Yes,No,No,No,Yes,No,Yes,No internet service,No,Two year,No,Credit card,84.7,3123.82,No
CUST00039,Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,81.44,2112.98,No
CUST00040,Female,0,Yes,No,12,No,Yes,No,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,83.23,1013.33,Yes
CUST00041,Male,1,Yes,No,46,No,No,DSL,Yes,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,20.98,944.27,Yes
CUST00042,Male,1,Yes,Yes,6,No,No phone service,No,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer,20.65,97.15,No
CUST00043,Male,1,Yes,Yes,46,No,No phone service,No,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,52.07,2417.19,Yes
CUST00044,Male,1,Yes,No,18,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,40.73,750.13,No
CUST00045,Male,0,No,No,49,Yes,No,No,No,No,No internet service,No,Yes,No internet service,Two year,No,Bank transfer,111.76,5461.37,Yes
CUST00046,Male,1,No,No,72,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card,27.89,2010.84,No
CUST00047,Male,0,Yes,Yes,17,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No,Yes,Two year,No,Credit card,38.58,672.52,No
CUST00048,Female,1,Yes,Yes,60,Yes,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,39.06,2327.95,No
CUST00049,Female,1,Yes,No,56,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,64.96,3659.9,No
CUST00050,Male,1,No,No,57,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No internet service,One year,Yes,Credit card,81.83,4683.0,No
CUST00051,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card,33.63,304.46,No
CUST00052,Male,1,Yes,Yes,48,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer,26.2,1265.05,No
CUST00053,Male,1,No,Yes,48,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,40.57,1953.87,No
CUST00054,Female,0,Yes,Yes,67,Yes,No,No,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,46.13,3081.63,No
CUST00055,Female,1,Yes,Yes,65,Yes,No,DSL,No,Yes,No,No internet service,No internet service,Yes,One year,No,Credit card,81.66,5333.76,No
CUST00056,Female,1,Yes,No,61,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,92.3,5637.23,No
CUST00057,Male,0,Yes,Yes,46,No,No phone service,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,88.3,4081.7,No
CUST00058,Female,1,Yes,No,38,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card,102.82,3919.33,Yes
CUST00059,Female,1,No,No,30,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,116.33,3502.33,No
CUST00060,Female,1,No,Yes,25,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Credit card,27.12,658.78,No
CUST00061,Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,76.53,2427.8,No
CUST00062,Male,1,Yes,No,52,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,37.17,1905.13,Yes
CUST00063,Female,0,No,No,44,No,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card,68.76,3039.03,No
